"HCC","HCC label","beta","equity","equity_diff"
"HCC73","Amyotrophic Lateral Sclerosis and Other Motor",4510.99,4452.98,-58
"HCC74","Cerebral Palsy",1363.77,1100.19,-263.58
"HCC75","Myasthenia Gravis/Myoneural Disorders and",6451.09,6348.63,-102.47
"HCC76","Muscular Dystrophy",2812.73,2551.67,-261.07
"HCC77","Multiple Sclerosis",5488.45,5251.35,-237.1
"HCC78","Parkinson's and Huntington's Diseases",3162.35,3060.45,-101.9
"HCC79","Seizure Disorders and Convulsions",1810.02,1815.13,5.11
"HCC8","Metastatic Cancer and Acute Leukemia",23618.66,23558.96,-59.69
"HCC80","Coma, Brain Compression/Anoxic Damage",2099.83,2167.56,67.73
"HCC82","Respirator Dependence/Tracheostomy Status",6480.48,6527.33,46.86
"HCC83","Respiratory Arrest",8057.45,8148.09,90.63
"HCC84","Cardio-Respiratory Failure and Shock",1921.57,1874.05,-47.52
"HCC85","Congestive Heart Failure",3185.53,3249.69,64.16
"HCC85_HCC96",,0,0.05,0.05
"HCC85_gRenal_V24",,87.74,121.26,33.52
"HCC86","Acute Myocardial Infarction",1677.33,1661.3,-16.02
"HCC87","Unstable Angina and Other Acute Ischemic Heart",2366.33,2317.82,-48.51
"HCC88","Angina Pectoris",1906.68,1867.25,-39.43
"HCC9","Lung and Other Severe Cancers",11901.54,11903.93,2.39
"HCC96","Specified Heart Arrhythmias",2671.75,2471.12,-200.63
"HCC99","Intracranial Hemorrhage",1548.96,1614.79,65.83
"age_sexFemale_70-74",,613.2,550.97,-62.23
"age_sexFemale_75-79",,1079.48,1000.13,-79.35
"age_sexFemale_80-84",,1108.36,1011.83,-96.53
"age_sexFemale_85-89",,1028.86,904.83,-124.03
"age_sexFemale_90+",,457.92,301.87,-156.05
"age_sexMale_65-69",,40.16,32.05,-8.11
"age_sexMale_70-74",,765.52,683.44,-82.08
"age_sexMale_75-79",,1613.5,1525.01,-88.48
"age_sexMale_80-84",,1892.95,1800.86,-92.09
"age_sexMale_85-89",,1707.41,1587.86,-119.55
"age_sexMale_90+",,1069.36,936.98,-132.38
"gCopdCF_CARD_RESP_FAIL",,411.96,451.34,39.38
"orig_dis_f",,1845.75,2159.05,313.3
"orig_dis_m",,980.78,1221.89,241.12
